id,title,content,source_url,publish,category
8fadc302-2ed4-4ae7-bbec-17c7fba00933,Apple CEO was presented with an original Macintosh. See his reaction,CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports.,https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,"Tue, 18 Apr 2023 09:17:25 GMT",Others
d81898c3-3ff6-4a34-aa17-7b5d99471211,Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear,"Senate Democrats railed against Justice Clarence Thomas on Tuesday amid reports that the Supreme Court conservative failed to disclose luxury travel, gifts and a real estate transaction involving a GOP megadonor, but their plan to investigate the conservative jurist remains unclear.",https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,"Tue, 18 Apr 2023 20:29:46 GMT",Others
7b35640b-708c-4331-a4a9-06908607736c,"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials","• Jailed Wall Street Journal reporter Evan Gershkovich denied detention appeal in Moscow
• Putin visits Russian troops at military headquarters in Kherson
• Watch moment WSJ journalist appears in Russian court",https://www.cnn.com/europe/live-news/russia-ukraine-war-news-04-18-23/index.html,,Others
8d5cf3fe-0b63-4967-b32d-b3a8d48b78a6,Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine,Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine.,https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,"Tue, 18 Apr 2023 19:07:52 GMT",Others
3ab848ac-8bbe-4abf-8c91-205e45e124d8,'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney,CNN panelists react to Florida Gov. Ron DeSantis floating the idea of building a competing theme park next to Disney World in Orlando.,https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn,"Tue, 18 Apr 2023 03:24:56 GMT",Others
d97dad1a-a022-4197-8589-888bcee9d651,GOP prepared to block vote to replace Feinstein on Senate Judiciary,"Senate Majority Leader Chuck Schumer said on Tuesday that he hopes to replace Democratic Sen. Dianne Feinstein on the Senate Judiciary Committee with Sen. Ben Cardin of Maryland and aims to set up a floor vote on the issue this afternoon, which Republicans are expected to block.",https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,"Tue, 18 Apr 2023 22:03:13 GMT",Others
06100f9a-41b1-41e8-96c0-cb7b3baffeb2,Oklahoma governor calls on officials to resign over recording of racist and threatening remarks,,https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,"Tue, 18 Apr 2023 17:33:17 GMT",Others
05371daf-00f1-43eb-9d3f-4e1c84f2ef35,McCarthy slams Biden in handling of US debt,House Speaker Kevin McCarthy traveled to Wall Street on Monday to deliver a fresh warning that the House GOP majority will refuse to lift a cap on government borrowing unless Biden agrees to spending cuts that would effectively neutralize his domestic agenda.,https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,"Tue, 18 Apr 2023 22:03:01 GMT",Others
aa046ec0-8886-40e8-aeb5-9ecd86defabe,US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant,"The US has sensitive nuclear technology at a nuclear power plant inside Ukraine and is warning Russia not to touch it, according to a letter the US Department of Energy sent to Russia's state-owned nuclear energy firm Rosatom last month.",https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,"Wed, 19 Apr 2023 08:35:33 GMT",Others
e7f473bf-b771-4f0e-81db-c8ec2c6dfb24,Repeated gunshots fired on live TV as ex-lawmaker shot by assassins,"Atiq Ahmed, a former lawmaker in India's parliament, convicted of kidnapping, was shot dead along with his brother while police were escorting them for a medical check-up in a slaying caught on live television on Saturday. CNN's Vedika Sud reports.",https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,"Tue, 18 Apr 2023 09:41:42 GMT",Others
115134ee-3fcc-46bc-b22e-f9c8d9639e85,FDA clears the way for additional bivalent boosters for certain vulnerable individuals,"The U.S. Food and Drug Administration amended the terms of its emergency use authorizations for the Pfizer and Moderna bivalent vaccines on Tuesday, allowing people ages 65 and older and certain people with weakened immunity to get additional doses before this fall's vaccination campaigns.",https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html,"Tue, 18 Apr 2023 15:09:15 GMT",Others
447750b5-8907-4fe5-b3cd-745736fe3226,Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving,"Maine authorities have detained a person of interest and continue to investigate after two shooting incidents that appear to be connected left at least four people dead and three others injured, state police said.",https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html,"Wed, 19 Apr 2023 01:49:51 GMT",Others
01181231-3364-4356-8461-3a790b7d480f,Southwest says flights resumed after delays caused by 'tech issues',"• Delta Air Lines reports record bookings for summer travel
• Air France and Airbus acquitted in trial over 2009 plane crash",https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,"Tue, 18 Apr 2023 17:15:29 GMT",Others
2ca8f16b-bfd2-4ea0-ac83-9b9e4296a6ed,Damar Hamlin cleared to resume football activities after January cardiac arrest,"Buffalo Bills safety Damar Hamlin, who has been cleared to resume football activities, said Tuesday his cardiac arrest during an NFL game in January was caused by commotio cordis.",https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html,"Tue, 18 Apr 2023 22:11:37 GMT",Others
624f34db-824c-4bff-86f9-7ec93a1ba039,Pilot makes history after landing on top of a 56-story hotel,Polish pilot Lukasz Czepiela made history after landing a plane on a helipad at the top of a 56-story hotel in Dubai.,https://www.cnn.com/videos/travel/2023/03/17/pilot-lands-on-dubai-helipad-cprog-orig-aw-ao.cnn,"Sun, 19 Mar 2023 11:22:30 GMT",Others
98a13d11-fc85-47b7-8c99-4cceef622da8,Top US Navy admiral defends non-binary sailor amid some Republican criticism,"The top US Navy admiral ardently defended a non-binary sailor on Tuesday amid some criticism from Republican lawmakers, saying he is ""particularly proud of this sailor.""",https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html,"Tue, 18 Apr 2023 19:56:40 GMT",Others
bc2dc0e8-5684-40d0-aa42-2a001a0c643e,Fulton County DA says fake Trump electors are incriminating one another and wants lawyer disqualified,"The Fulton County District Attorney's office said some fake electors for Donald Trump have implicated each other in potential criminal activity and is seeking to disqualify their lawyer, according to a new court filing.",https://www.cnn.com/2023/04/18/politics/fulton-county-trump-fake-electors/index.html,"Wed, 19 Apr 2023 15:31:24 GMT",Others
